Row ID,Order ID,Customer ID,Product ID,Product Name,Order Date,Ship Date,Ship Mode,Category,Customer Name,Segment,Sales,Quantity,Profit
3760,CA-2015-167745,GB-14530,OFF-SU-10004782,"Elite 5"" Scissors",18-Sep-15,23-Sep-15,Standard Class,Supplies,George Bell,Corporate,16.9,2,5.07
3844,CA-2014-101931,TS-21370,OFF-SU-10002301,Serrated Blade or Curved Handle Hand Letter Openers,28-Oct-14,31-Oct-14,First Class,Supplies,Todd Sumrall,Corporate,6.28,2,0.0628
3845,CA-2014-101931,TS-21370,OFF-SU-10000646,Premier Automatic Letter Opener,28-Oct-14,31-Oct-14,First Class,Supplies,Todd Sumrall,Corporate,480.74,2,14.4222
3847,CA-2014-101931,TS-21370,OFF-ST-10003442,Eldon Portable Mobile Manager,28-Oct-14,31-Oct-14,First Class,Storage,Todd Sumrall,Corporate,141.4,5,38.178
4339,CA-2015-125234,SN-20710,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",27-Nov-15,01-Dec-15,Standard Class,Paper,Steve Nguyen,Home Office,113.82,3,53.4954
4481,CA-2016-109365,XP-21865,OFF-FA-10001561,Stockwell Push Pins,03-Nov-16,08-Nov-16,Standard Class,Fasteners,Xylona Preis,Consumer,15.26,7,5.0358
4482,CA-2016-109365,XP-21865,OFF-AP-10002998,Holmes 99% HEPA Air Purifier,03-Nov-16,08-Nov-16,Standard Class,Appliances,Xylona Preis,Consumer,43.32,2,14.2956
4484,CA-2016-109365,XP-21865,OFF-PA-10001725,Xerox 1892,03-Nov-16,08-Nov-16,Standard Class,Paper,Xylona Preis,Consumer,116.28,3,56.9772
4486,CA-2016-109365,XP-21865,OFF-PA-10000477,Xerox 22,03-Nov-16,08-Nov-16,Standard Class,Paper,Xylona Preis,Consumer,19.44,3,9.3312
4487,CA-2016-109365,XP-21865,OFF-PA-10004359,Multicolor Computer Printout Paper,03-Nov-16,08-Nov-16,Standard Class,Paper,Xylona Preis,Consumer,314.55,3,150.984
4561,CA-2015-118871,HM-14860,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,04-Dec-15,09-Dec-15,Second Class,Envelopes,Harry Marie,Corporate,271.44,3,122.148
4709,CA-2017-138149,WB-21850,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",29-Jun-17,30-Jun-17,First Class,Storage,William Brown,Consumer,130.71,3,39.213
4710,CA-2017-138149,WB-21850,OFF-AR-10000255,Newell 328,29-Jun-17,30-Jun-17,First Class,Art,William Brown,Consumer,11.68,2,3.0368
5218,CA-2017-134635,NS-18640,OFF-PA-10002254,Xerox 1883,15-Apr-17,17-Apr-17,Second Class,Paper,Noel Staavos,Corporate,79.14,3,36.4044
5328,CA-2014-130813,LS-17230,OFF-PA-10002005,Xerox 225,06-Jan-14,08-Jan-14,Second Class,Paper,Lycoris Saunders,Consumer,19.44,3,9.3312
5737,CA-2014-148614,MV-17485,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",20-Jan-14,25-Jan-14,Standard Class,Paper,Mark Van Huff,Consumer,19.36,2,9.2928
5896,CA-2014-168305,PL-18925,OFF-LA-10003498,Avery 475,01-Nov-14,08-Nov-14,Standard Class,Labels,Paul Lucas,Home Office,44.4,3,22.2
5897,CA-2014-168305,PL-18925,OFF-PA-10004947,Easy-staple paper,01-Nov-14,08-Nov-14,Standard Class,Paper,Paul Lucas,Home Office,21.4,5,9.63
5942,CA-2017-112431,RW-19690,OFF-AR-10000940,Newell 343,12-Oct-17,14-Oct-17,Second Class,Art,Robert Waldorf,Consumer,5.88,2,1.5876
6009,CA-2015-135580,CL-12565,OFF-PA-10000595,Xerox 1929,30-Dec-15,03-Jan-16,Standard Class,Paper,Clay Ludtke,Consumer,68.52,3,31.5192
6010,CA-2015-135580,CL-12565,OFF-ST-10000798,2300 Heavy-Duty Transfer File Systems by Perma,30-Dec-15,03-Jan-16,Standard Class,Storage,Clay Ludtke,Consumer,74.94,3,14.2386
6012,CA-2015-135580,CL-12565,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,30-Dec-15,03-Jan-16,Standard Class,Envelopes,Clay Ludtke,Consumer,271.44,3,122.148
6018,CA-2014-102652,AY-10555,OFF-PA-10003309,Xerox 211,06-Apr-14,12-Apr-14,Standard Class,Paper,Andy Yotov,Corporate,19.44,3,9.3312
6019,CA-2014-102652,AY-10555,OFF-PA-10001977,Xerox 194,06-Apr-14,12-Apr-14,Standard Class,Paper,Andy Yotov,Corporate,55.48,1,26.6304
6030,US-2016-112970,TB-21250,OFF-AR-10003829,Newell 35,14-Nov-16,15-Nov-16,First Class,Art,Tim Brockman,Consumer,9.84,3,2.8536
6160,CA-2016-161025,GM-14440,OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,03-Dec-16,09-Dec-16,Standard Class,Storage,Gary McGarr,Consumer,772.68,4,108.1752
6284,CA-2016-100944,EH-13765,OFF-EN-10001453,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",24-Sep-16,28-Sep-16,Standard Class,Envelopes,Edward Hooks,Corporate,304.9,5,143.303
7067,CA-2016-147473,NL-18310,OFF-PA-10004782,Xerox 228,30-May-16,03-Jun-16,Standard Class,Paper,Nancy Lomonaco,Home Office,38.88,6,18.6624
7237,CA-2014-138737,FP-14320,OFF-AR-10003190,Newell 32,07-Dec-14,10-Dec-14,First Class,Art,Frank Preis,Consumer,8.64,3,2.4192
7245,US-2017-151127,RL-19615,OFF-AR-10002445,SANFORD Major Accent Highlighters,22-May-17,25-May-17,First Class,Art,Rob Lucas,Consumer,49.56,7,18.8328
7393,CA-2017-147844,DD-13570,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",02-May-17,06-May-17,Standard Class,Paper,Dorothy Dickinson,Consumer,15.7,5,7.065
7394,CA-2017-147844,DD-13570,OFF-AR-10001615,Newell 34,02-May-17,06-May-17,Standard Class,Art,Dorothy Dickinson,Consumer,59.52,3,15.4752
7395,CA-2017-147844,DD-13570,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",02-May-17,06-May-17,Standard Class,Paper,Dorothy Dickinson,Consumer,34.4,5,15.824
7657,US-2014-120740,PS-18970,OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,15-Apr-14,15-Apr-14,Same Day,Appliances,Paul Stevenson,Home Office,106.96,2,31.0184
7854,CA-2015-144890,SM-20320,OFF-PA-10001526,Xerox 1949,25-Dec-15,29-Dec-15,Standard Class,Paper,Sean Miller,Home Office,9.96,2,4.8804
7967,CA-2015-138219,BP-11095,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",23-Mar-15,30-Mar-15,Standard Class,Paper,Bart Pistole,Corporate,33.36,4,16.68
8055,CA-2015-121188,CB-12025,OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",28-Aug-15,04-Sep-15,Standard Class,Storage,Cassandra Brandow,Consumer,892.35,5,267.705
8057,CA-2015-121188,CB-12025,OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,28-Aug-15,04-Sep-15,Standard Class,Storage,Cassandra Brandow,Consumer,728.82,9,29.1528
8173,CA-2014-114125,GH-14410,OFF-LA-10004559,Avery 49,09-Jul-14,13-Jul-14,Standard Class,Labels,Gary Hansen,Home Office,2.88,1,1.4112
8175,CA-2014-114125,GH-14410,OFF-ST-10001505,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",09-Jul-14,13-Jul-14,Standard Class,Storage,Gary Hansen,Home Office,23.92,4,4.0664
8492,CA-2017-106824,AT-10735,OFF-FA-10001135,"Brites Rubber Bands, 1 1/2 oz. Box",07-Jul-17,11-Jul-17,Standard Class,Fasteners,Annie Thurman,Consumer,5.94,3,0.1188
8504,CA-2014-164903,SR-20740,OFF-PA-10003363,Xerox 204,20-Feb-14,24-Feb-14,Standard Class,Paper,Steven Roelle,Home Office,12.96,2,6.2208
8549,CA-2015-149566,GB-14530,OFF-LA-10000452,Avery 488,05-Dec-15,10-Dec-15,Standard Class,Labels,George Bell,Corporate,12.6,4,6.048
8588,CA-2017-162015,KB-16240,OFF-AP-10003040,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,11-Jul-17,18-Jul-17,Standard Class,Appliances,Karen Bern,Corporate,168.1,5,43.706
9043,CA-2015-168760,MM-18280,OFF-AP-10004532,Kensington 6 Outlet Guardian Standard Surge Protector,22-Sep-15,26-Sep-15,Second Class,Appliances,Muhammed MacIntyre,Corporate,61.44,3,16.5888
9216,CA-2016-152646,TH-21235,OFF-PA-10004451,Xerox 222,21-Nov-16,26-Nov-16,Standard Class,Paper,Tiffany House,Corporate,32.4,5,15.552
9229,CA-2014-153619,TC-21535,OFF-AR-10001868,Prang Dustless Chalk Sticks,03-Nov-14,03-Nov-14,Same Day,Art,Tracy Collins,Home Office,6.72,4,3.36
9521,CA-2016-101189,JB-15400,OFF-ST-10004180,Safco Commercial Shelving,04-Feb-16,09-Feb-16,Standard Class,Storage,Jennifer Braxton,Corporate,93.02,2,3.7208
9617,CA-2016-140256,PW-19030,OFF-AR-10002255,Newell 346,22-Aug-16,29-Aug-16,Standard Class,Art,Pauline Webber,Corporate,5.76,2,1.6704
9732,CA-2017-124261,JE-15715,OFF-AR-10003504,Newell 347,14-Nov-17,19-Nov-17,Standard Class,Art,Joe Elijah,Consumer,34.24,8,9.9296
27,CA-2016-121755,EH-13945,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,16-Jan-16,20-Jan-16,Second Class,Accessories,Eric Hoffmann,Consumer,90.57,3,11.7741
1626,CA-2015-157084,JG-15160,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,19-Dec-15,24-Dec-15,Standard Class,Accessories,James Galang,Consumer,1265.85,3,556.974
1808,US-2016-116729,GK-14620,TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive,25-Dec-16,28-Dec-16,First Class,Accessories,Grace Kelly,Corporate,254.24,7,76.272
2067,CA-2014-106439,GG-14650,TEC-AC-10004568,Maxell LTO Ultrium - 800 GB,31-Oct-14,04-Nov-14,Standard Class,Accessories,Greg Guthrie,Corporate,251.91,9,47.8629
2709,CA-2015-121797,CC-12145,FUR-FU-10001876,"Computer Room Manger, 14""",30-Jan-15,06-Feb-15,Standard Class,Furnishings,Charles Crestani,Consumer,227.36,7,81.8496
2945,CA-2017-126242,MC-18100,FUR-FU-10002685,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",19-Nov-17,24-Nov-17,Standard Class,Furnishings,Mick Crebagga,Consumer,18.7,1,7.106
3129,CA-2014-136399,CC-12100,FUR-FU-10004090,"Executive Impressions 14"" Contract Wall Clock",16-Dec-14,17-Dec-14,First Class,Furnishings,Chad Cunningham,Home Office,44.46,2,14.6718
3131,CA-2014-136399,CC-12100,TEC-AC-10001142,First Data FD10 PIN Pad,16-Dec-14,17-Dec-14,First Class,Accessories,Chad Cunningham,Home Office,395,5,39.5
3761,CA-2015-167745,GB-14530,FUR-FU-10001591,Advantus Panel Wall Certificate Holder - 8.5x11,18-Sep-15,23-Sep-15,Standard Class,Furnishings,George Bell,Corporate,24.4,2,10.248
4338,CA-2015-125234,SN-20710,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,27-Nov-15,01-Dec-15,Standard Class,Accessories,Steve Nguyen,Home Office,107.97,3,22.6737
4563,CA-2015-118871,HM-14860,FUR-FU-10002111,"Master Caster Door Stop, Large Brown",04-Dec-15,09-Dec-15,Second Class,Furnishings,Harry Marie,Corporate,36.4,5,13.832
4711,CA-2017-138149,WB-21850,TEC-AC-10001284,Enermax Briskie RF Wireless Keyboard and Mouse Combo,29-Jun-17,30-Jun-17,First Class,Accessories,William Brown,Consumer,62.31,3,22.4316
5738,CA-2014-148614,MV-17485,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",20-Jan-14,25-Jan-14,Standard Class,Furnishings,Mark Van Huff,Consumer,19.3,2,5.79
5941,CA-2017-112431,RW-19690,TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive,12-Oct-17,14-Oct-17,Second Class,Accessories,Robert Waldorf,Consumer,435.84,12,130.752
6016,CA-2014-102652,AY-10555,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,06-Apr-14,12-Apr-14,Standard Class,Furnishings,Andy Yotov,Corporate,91.96,2,15.6332
6017,CA-2014-102652,AY-10555,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,06-Apr-14,12-Apr-14,Standard Class,Furnishings,Andy Yotov,Corporate,33.11,7,12.9129
6913,US-2017-128398,EM-13825,TEC-AC-10001714,Logitech MX Performance Wireless Mouse,02-May-17,05-May-17,Second Class,Accessories,Elizabeth Moffitt,Corporate,159.56,4,59.0372
7658,US-2014-120740,PS-18970,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",15-Apr-14,15-Apr-14,Same Day,Furnishings,Paul Stevenson,Home Office,187.76,4,76.9816
8060,CA-2015-121188,CB-12025,FUR-FU-10003981,Eldon Wave Desk Accessories,28-Aug-15,04-Sep-15,Standard Class,Furnishings,Cassandra Brandow,Consumer,4.16,2,1.7472
8116,CA-2017-101014,RW-19540,FUR-FU-10003374,Electrix Fluorescent Magnifier Lamps & Weighted Base,29-Aug-17,04-Sep-17,Standard Class,Furnishings,Rick Wilson,Corporate,148.02,3,41.4456
8548,CA-2015-149566,GB-14530,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,05-Dec-15,10-Dec-15,Standard Class,Accessories,George Bell,Corporate,39,3,17.55
8587,CA-2017-162015,KB-16240,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,11-Jul-17,18-Jul-17,Standard Class,Accessories,Karen Bern,Corporate,1287.45,5,244.6155
9141,CA-2017-123029,BT-11530,TEC-AC-10002402,Razer Kraken PRO Over Ear PC and Music Headset,30-Sep-17,02-Oct-17,Second Class,Accessories,Bradley Talbott,Home Office,159.98,2,47.994
9666,CA-2017-157448,LC-16885,FUR-FU-10003268,Eldon Radial Chair Mat for Low to Medium Pile Carpets,16-Nov-17,20-Nov-17,Standard Class,Furnishings,Lena Creighton,Consumer,119.94,3,23.988
9667,CA-2017-157448,LC-16885,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,16-Nov-17,20-Nov-17,Standard Class,Furnishings,Lena Creighton,Consumer,12.42,3,4.4712
161,CA-2016-162733,TT-21070,OFF-PA-10002751,Xerox 1920,11-May-16,12-May-16,First Class,Paper,Ted Trevino,Consumer,5.98,1,2.691
420,CA-2017-110478,SP-20860,OFF-AR-10001573,American Pencil,04-Mar-17,09-Mar-17,Standard Class,Art,Sung Pak,Corporate,9.32,4,2.7028
421,CA-2017-110478,SP-20860,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",04-Mar-17,09-Mar-17,Standard Class,Envelopes,Sung Pak,Corporate,15.25,1,7.015
485,CA-2017-140963,MT-18070,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,10-Jun-17,13-Jun-17,First Class,Labels,Michelle Tran,Home Office,29.6,2,14.8
557,CA-2016-113243,OT-18730,OFF-LA-10001297,Avery 473,10-Jun-16,15-Jun-16,Standard Class,Labels,Olvera Toch,Consumer,20.7,2,9.936
559,CA-2016-113243,OT-18730,OFF-PA-10003441,Xerox 226,10-Jun-16,15-Jun-16,Standard Class,Paper,Olvera Toch,Consumer,32.4,5,15.552
721,CA-2016-112942,RD-19810,OFF-PA-10004092,Tops Green Bar Computer Printout Paper,13-Feb-16,18-Feb-16,Standard Class,Paper,Ross DeVincentis,Home Office,146.82,3,73.41
1142,CA-2014-146969,AP-10915,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,29-Sep-14,03-Oct-14,Standard Class,Furnishings,Arthur Prichep,Consumer,204.6,2,53.196
1143,CA-2014-146969,AP-10915,OFF-FA-10001561,Stockwell Push Pins,29-Sep-14,03-Oct-14,Standard Class,Fasteners,Arthur Prichep,Consumer,8.72,4,2.8776
1144,CA-2014-146969,AP-10915,OFF-PA-10002105,Xerox 223,29-Sep-14,03-Oct-14,Standard Class,Paper,Arthur Prichep,Consumer,6.48,1,3.1104
1146,CA-2014-146969,AP-10915,OFF-ST-10004340,"Fellowes Mobile File Cart, Black",29-Sep-14,03-Oct-14,Standard Class,Storage,Arthur Prichep,Consumer,62.18,1,16.7886
1229,CA-2017-100013,ZC-21910,OFF-EN-10001219,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",06-Nov-17,11-Nov-17,Standard Class,Envelopes,Zuschuss Carroll,Consumer,15.28,2,7.4872
1230,CA-2017-100013,ZC-21910,FUR-FU-10001424,Dax Clear Box Frame,06-Nov-17,11-Nov-17,Standard Class,Furnishings,Zuschuss Carroll,Consumer,8.73,1,2.9682
1231,CA-2017-100013,ZC-21910,OFF-AR-10001022,SANFORD Liquid Accent Tank-Style Highlighters,06-Nov-17,11-Nov-17,Standard Class,Art,Zuschuss Carroll,Consumer,5.68,2,1.7608
1267,US-2014-167738,JC-16105,OFF-ST-10003306,Letter Size Cart,24-Dec-14,29-Dec-14,Standard Class,Storage,Julie Creighton,Corporate,142.86,1,41.4294
1504,CA-2016-100468,AT-10435,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",24-Nov-16,01-Dec-16,Standard Class,Furnishings,Alyssa Tate,Home Office,9.94,2,3.0814
2405,CA-2017-108574,MG-18145,TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,07-Oct-17,11-Oct-17,Standard Class,Accessories,Mike Gockenbach,Consumer,1115.91,9,200.8638
2413,CA-2014-151295,JA-15970,OFF-PA-10001947,Xerox 1974,12-Nov-14,16-Nov-14,Standard Class,Paper,Joseph Airdo,Consumer,11.96,2,5.8604
2510,CA-2017-163902,MY-17380,TEC-AC-10000580,Logitech G13 Programmable Gameboard with LCD Display,02-Mar-17,08-Mar-17,Standard Class,Accessories,Maribeth Yedwab,Corporate,479.94,6,52.7934
2637,CA-2015-162369,TT-21265,OFF-ST-10000046,Fellowes Super Stor/Drawer Files,15-Aug-15,19-Aug-15,Standard Class,Storage,Tim Taslimi,Corporate,323.1,2,61.389
2670,US-2015-139759,NL-18310,OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,25-Aug-15,30-Aug-15,Standard Class,Appliances,Nancy Lomonaco,Home Office,105.96,4,29.6688
3074,CA-2016-125206,LR-16915,OFF-ST-10003692,Recycled Steel Personal File for Hanging File Folders,03-Jan-16,05-Jan-16,First Class,Storage,Lena Radford,Consumer,114.46,2,28.615
3647,CA-2014-146528,VF-21715,OFF-PA-10002195,Xerox 1966,25-Jul-14,27-Jul-14,Second Class,Paper,Vicky Freymann,Home Office,6.48,1,3.1752
3648,CA-2014-146528,VF-21715,OFF-SU-10002522,Acme Kleen Earth Office Shears,25-Jul-14,27-Jul-14,Second Class,Supplies,Vicky Freymann,Home Office,15.52,4,4.5008
3712,CA-2017-113670,RS-19765,OFF-PA-10000675,Xerox 1919,15-Oct-17,17-Oct-17,First Class,Paper,Roland Schwarz,Corporate,204.95,5,100.4255
3787,CA-2016-144218,JD-15895,OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",31-Oct-16,04-Nov-16,Standard Class,Storage,Jonathan Doherty,Corporate,1085.42,7,282.2092
3903,US-2015-119312,CS-12400,OFF-ST-10000943,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,02-Oct-15,07-Oct-15,Second Class,Storage,Christopher Schild,Home Office,270.34,14,75.6952
3963,CA-2017-134838,ED-13885,OFF-AR-10000634,Newell 320,19-Feb-17,20-Feb-17,First Class,Art,Emily Ducich,Home Office,12.84,3,3.4668
3964,CA-2017-134838,ED-13885,FUR-FU-10004018,Tensor Computer Mounted Lamp,19-Feb-17,20-Feb-17,First Class,Furnishings,Emily Ducich,Home Office,44.67,3,12.0609
3985,CA-2016-135265,CC-12370,OFF-PA-10002923,Xerox 1942,07-Jul-16,09-Jul-16,Second Class,Paper,Christopher Conant,Consumer,48.94,1,24.47
4179,CA-2016-148593,BD-11320,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",16-Jun-16,18-Jun-16,Second Class,Paper,Bill Donatelli,Consumer,46.35,5,21.7845
4312,CA-2014-125829,WB-21850,OFF-PA-10000223,Xerox 2000,04-Nov-14,11-Nov-14,Standard Class,Paper,William Brown,Consumer,19.44,3,9.3312
4315,CA-2015-115945,AB-10165,OFF-AR-10004062,Staples in misc. colors,25-Jun-15,01-Jul-15,Standard Class,Art,Alan Barnes,Consumer,20.96,2,5.24
4317,CA-2015-115945,AB-10165,OFF-ST-10001963,Tennsco Regal Shelving Units,25-Jun-15,01-Jul-15,Standard Class,Storage,Alan Barnes,Consumer,304.23,3,9.1269
4505,US-2014-138247,BF-11170,OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,24-Dec-14,29-Dec-14,Standard Class,Appliances,Ben Ferrer,Home Office,361.96,2,101.3488
4506,US-2014-138247,BF-11170,TEC-AC-10004708,Sony 32GB Class 10 Micro SDHC R40 Memory Card,24-Dec-14,29-Dec-14,Standard Class,Accessories,Ben Ferrer,Home Office,62.85,3,13.1985
4508,US-2014-138247,BF-11170,OFF-ST-10002301,Tennsco Commercial Shelving,24-Dec-14,29-Dec-14,Standard Class,Storage,Ben Ferrer,Home Office,20.34,1,0.2034
4509,US-2014-138247,BF-11170,FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",24-Dec-14,29-Dec-14,Standard Class,Furnishings,Ben Ferrer,Home Office,23.99,1,5.5177
4584,US-2016-100405,TS-21430,OFF-AR-10000390,Newell Chalk Holder,26-Aug-16,28-Aug-16,Second Class,Art,Tom Stivers,Corporate,8.26,2,3.7996
4637,CA-2017-168228,AP-10915,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",27-Apr-17,29-Apr-17,First Class,Art,Arthur Prichep,Consumer,123.92,4,33.4584
4638,CA-2017-168228,AP-10915,OFF-AR-10000390,Newell Chalk Holder,27-Apr-17,29-Apr-17,First Class,Art,Arthur Prichep,Consumer,12.39,3,5.6994
4639,CA-2017-168228,AP-10915,OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,27-Apr-17,29-Apr-17,First Class,Art,Arthur Prichep,Consumer,47.3,2,12.298
4950,CA-2017-107125,BD-11320,FUR-FU-10000732,Eldon 200 Class Desk Accessories,27-Nov-17,02-Dec-17,Standard Class,Furnishings,Bill Donatelli,Consumer,18.84,3,6.0288
5000,CA-2016-129238,SC-20050,OFF-PA-10002764,Easy-staple paper,31-Jan-16,04-Feb-16,Standard Class,Paper,Sample Company A,Home Office,56.7,5,27.783
5145,CA-2017-161333,JL-15835,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",02-Feb-17,07-Feb-17,Standard Class,Furnishings,John Lee,Consumer,86.26,2,29.3284
5146,CA-2017-161333,JL-15835,OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",02-Feb-17,07-Feb-17,Standard Class,Storage,John Lee,Consumer,139.04,4,38.9312
